cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM928,288.29,-1396.9,-86.226,1.4157e-15,1,1.8923e-16,1.7356e-15,0,7.8756e-16,2.7737e-17
bBM929,316.28,133.98,20.12,0.00061064,0.0078488,0.0014181,0.055467,0.00019428,0.93418,0.00028221
bBM930,202.06,-150.96,20.63,0.0014625,0.72539,0.0031331,0.20281,0.00035354,0.066269,0.00057875
bBM931,61.068,-5.8541,21.604,0.014125,0.57075,0.027104,0.06071,0.0060713,0.31326,0.0079832
bBM932,174.9,-200.15,20.282,0.0011109,0.98273,0.0012295,0.0043389,0.00041499,0.0089801,0.0011976
bBM933,-963.86,88.128,20.202,0.99726,0.00037578,0.0011584,0.00031187,0.00023578,0.00022343,0.00043295
bBM935,363.87,-803.86,1.8431,1.4414e-16,1,1.3191e-17,0,0,1.142e-15,0
bBM936,213.81,-264.84,19.897,0.00066093,0.98805,0.0011223,0.0064824,9.8813e-05,0.0033544,0.00022992
bBM937,377.54,-943.48,-13.922,4.6634e-17,1,2.7038e-17,9.9089e-16,3.2613e-18,1.3005e-15,2.0199e-16
bBM938,367.46,-608.53,13.033,2.373e-10,1,2.8602e-10,2.4693e-09,4.5725e-11,1.7586e-09,1.7236e-10
bBM939,247.4,-334.44,19.058,7.4418e-05,0.99839,0.00013265,0.00084443,1.5574e-05,0.00047084,7.2499e-05
bBM940,211.28,-254.21,19.727,0.0002845,0.99516,0.00027344,0.001829,9.1612e-05,0.0017733,0.00058508
bBM941,-947.3,103.31,20.456,0.99479,0.00065264,0.0023389,0.00051704,0.00045751,0.00035582,0.00088802
bBM942,348.55,-547.71,14.799,7.0311e-09,1,8.4773e-09,6.5251e-08,1.3694e-09,5.581e-08,5.1004e-09
bBM943,-1008.2,88.992,19.825,0.99889,0.00014836,0.00046354,0.00012456,9.7111e-05,8.9153e-05,0.00018456
bBM944,157.15,-135.91,20.905,0.0042469,0.89446,0.022495,0.024179,0.0010682,0.051856,0.0016909
bBM945,281.36,-379.72,18.388,1.462e-05,0.99959,2.2773e-05,0.00024698,2.9042e-06,0.00010952,1.1214e-05
bBM946,236.54,111.77,20.668,0.0018326,0.035339,0.0043727,0.024162,0.00086834,0.93209,0.0013329
bBM947,-31.626,89.447,21.77,0.020922,0.3105,0.030915,0.053012,0.013773,0.55321,0.017674
bBM948,215.94,-249.45,19.928,0.0015696,0.98857,0.0010682,0.0045222,0.00010099,0.0039026,0.00026817
